NASA PHOTO NO.|photo_num|mag_number|mag_code|film_type|revolution_num|alt_km|sun_elevation|lens_mm|camera_tilt|camera_azimuth|principal_lat|principal_long|description
153-23493|23493|153|MM|SO-368|29|111|28|250|49|350|23.5 N|31.5 E|LITTROW A
153-23494|23494|153|MM|SO-368|29|111|28|250|46|351|23.1 N|31.3 E|LITTROW A
153-23495|23495|153|MM|SO-368|29|111|28|250|44|354|23.0 N|31.0 E|LITTROW A
153-23496|23496|153|MM|SO-368|29|111|26|250|55|352|25.0 N|30.1 E|LE MONNIER
153-23497|23497|153|MM|SO-368|29|111|27|250|55|357|25.1 N|30.2 E|LE MONNIER
153-23498|23498|153|MM|SO-368|29|110|27|250|49|006|23.9 N|30.6 E|LITTROW, N OF
154-23600|23600|154|QQ|2485|01|247|09|80|52|206|08.4 N|37.1 E|CAUCHY A, B
154-23601|23601|154|QQ|2485|01|250|07|80|35|232|16.2 N|35.8 E|MARALDI, D, E, M, VITRUVIUS A, H
154-23602|23602|154|QQ|2485|01|251|04|80|40|264|19.2 N|32.7 E|MARALDI, VITRUVIUS, LITTROW
154-23603|23603|154|QQ|2485|01|254|04|80|36|244|17.1 N|32.4 E|MARALDI, E, VITRUVIUS A, B, C, H
154-23604|23604|154|QQ|2485|01|258|04|80|48|200|09.6 N|31.9 E|SINAS
154-23605|23605|154|QQ|2485|01|259|02|80|27|262|19.3 N|30.5 E|LITTROW, VITRUVIUS, A, B, L
154-23606|23606|154|QQ|2485|01|260|02|80|29|234|17.0 N|30.7 E|VITRUVIUS, A, B, JANSEN F, L
154-23607|23607|154|QQ|2485|01|260|02|80|44|205|11.5 N|30.5 E|JANSEN F, T
154-23618|23618|154|QQ|2485|02|261|03|80|13|273|19.9 N|30.5 E|LITTROW, B, VITRUVIUS E
154-23619|23619|154|QQ|2485|02|262|03|80|10|272|19.8 N|30.3 E|LITTROW, A, B, VITRUVIUS E
154-23620|23620|154|QQ|2485|02|263|03|80|04|281|19.8 N|30.3 E|LITTROW, B, VITRUVIUS E
159-23918|23918|159|XX|2485|26|||55||||31.0 E|APOLLO 17 LANDING SITE, RED FILTER
159-23919|23919|159|XX|2485|26|||55||||31.0 E|APOLLO 17 LANDING SITE, RED FILTER
159-23920|23920|159|XX|2485|26|||55||||31.0 E|APOLLO 17 LANDING SITE, RED FILTER
159-23921|23921|159|XX|2485|26|||55||||31.0 E|APOLLO 17 LANDING SITE, BLUE FILTER
159-23922|23922|159|XX|2485|26|||55||||31.0 E|APOLLO 17 LANDING SITE, BLUE FILTER
159-23923|23923|159|XX|2485|26|112|25|55|30|289|20.1 N|30.7 E|APOLLO 17 LANDING SITE, BLUE FILTER
159-23924|23924|159|XX|2485|26|112|25|55|20|303|20.3 N|30.7 E|APOLLO 17 LANDING SITE
159-23925|23925|159|XX|2485|26|112|25|55|21|308|20.4 N|30.6 E|APOLLO 17 LANDING SITE
145-22271|22271|145|D|SO-368|52|||60||||22.0 E|DOCKING, BESSEL, DESEILLIGNY
147-22466|22466|147|A|SO-368|12|026|12|60|68|277|20.4 N|29.9 E|CSM, APOLLO 17 LANDING SITE
147-22467|22467|147|A|SO-368|12|026|12|60|68|275|20.3 N|20.1 E|CSM, APOLLO 17 LANDING SITE
149-22874|22874|149|KK|SO-368|65|113|57|250|52|333|21.4 N|29.5 E|LITTROW B
149-22875|22875|149|KK|SO-368|65|113|57|250|49|342|21.5 N|29.6 E|LITTROW B
149-22876|22876|149|KK|SO-368|65|113|59|250|37|014|20.0 N|30.0 E|APOLLO 17 LANDING SITE
150-23009|23009|150|LL|SO-368|25|112|24|250|09|013|20.3 N|29.9 E|APOLLO 17 LANDING SITE, W OF
150-23010|23010|150|LL|SO-368|25|111|23|250|09|010|20.3 N|29.0 E|ARGAEUS MOUNTAINS
150-23011|23011|150|LL|SO-368|25|111|22|250|05|009|20.0 N|28.5 E|ARGAEUS MOUNTAINS
150-23012|23012|150|LL|SO-368|25|111|22|250|02|008|19.9 N|28.0 E|APOLLO 17 LANDING SITE, W OF
150-23013|23013|150|LL|SO-368|25|111|22|250|02|007|19.9 N|27.5 E|APOLLO 17 LANDING SITE, W OF
150-23014|23014|150|LL|SO-368|25|111|21|250|03|006|20.0 N|26.9 E|ARGAEUS MOUNTAINS, W OF
150-23015|23015|150|LL|SO-368|25|111|21|250|03|005|20.0 N|26.5 E|ARGAEUS MOUNTAINS, W OF
150-23016|23016|150|LL|SO-368|25|111|20|250|02|007|20.0 N|26.4 E|ARGAEUS MOUNTAINS, W OF
150-23017|23017|150|LL|SO-368|25|111|20|250|02|357|19.8 N|25.5 E|ARGAEUS MOUNTAINS, W OF
150-23018|23018|150|LL|SO-368|25|110|19|250|VERT||19.9 N|24.6 E|SERENITY, SEA OF
150-23019|23019|150|LL|SO-368|25|110|19|250|02|356|19.8 N|24.5 E|SERENITY, SEA OF
150-23020|23020|150|LL|SO-368|25|110|19|250|07|343|19.5 N|24.7 E|SERENITY, SEA OF
150-23021|23021|150|LL|SO-368|25|110|18|250|06|353|19.5 N|23.6 E|SERENITY, SEA OF
150-23022|23022|150|LL|SO-368|25|110|18|250|05|350|19.6 N|23.3 E|SERENITY, SEA OF
150-23023|23023|150|LL|SO-368|25|110|17|250|09|350|19.4 N|23.1 E|SERENITY, SEA OF
150-23024|23024|150|LL|SO-368|25|110|17|250|09|349|19.4 N|22.9 E|SERENITY, SEA OF
150-23025|23025|150|LL|SO-368|25|110|17|250|11|350|19.3 N|22.7 E|SERENITY, SEA OF
150-23026|23026|150|LL|SO-368|25|110|17|250|11|349|19.3 N|22.2 E|DESEILLIGNY, SE OF
150-23027|23027|150|LL|SO-368|25|110|16|250|14|350|19.1 N|22.0 E|DESEILLIGNY, SE OF
150-23028|23028|150|LL|SO-368|25|110|16|250|11|354|19.3 N|21.5 E|DESEILLIGNY, S OF
150-23029|23029|150|LL|SO-368|25|109|15|250|14|359|19.1 N|20.4 E|DESEILLIGNY, SW OF
150-23030|23030|150|LL|SO-368|25|109|15|250|09|000|19.4 N|20.3 E|SERENITY, SEA OF
150-23062|23062|150|LL|SO-368|28|110|27|80|15|186|18.4 N|30.0 E|VITRUVIUS E, L
150-23063|23063|150|LL|SO-368|28|110|26|80|18|187|18.3 N|29.2 E|VITRUVIUS E
150-23064|23064|150|LL|SO-368|28|110|25|80|16|183|18.5 N|28.0 E|VITRUVIUS E, DAWES
150-23065|23065|150|LL|SO-368|28|110|24|80|16|182|18.5 N|27.0 E|DAWES
150-23066|23066|150|LL|SO-368|28|109|23|80|18|186|18.5 N|26.0 E|DAWES, PLINIUS RILLES
150-23067|23067|150|LL|SO-368|28|109|22|80|18|182|18.6 N|24.9 E|DAWES, PLINIUS RILLES
150-23068|23068|150|LL|SO-368|28|109|21|80|18|182|18.6 N|23.9 E|PLINIUS RILLES
150-23069|23069|150|LL|SO-368|28|108|20|80|28|176|17.8 N|22.7 E|PLINIUS, N WALL, RILLES
151-23217|23217|151|OO|SO-368|38|111|35|250|51|316|21.5 N|29.5 E|APOLLO 17 LANDING SITE, NW OF
153-23499|23499|153|MM|SO-368|29|110|26|250|58|000|26.1 N|29.6 E|LITTROW, N OF
153-23500|23500|153|MM|SO-368|29|110|26|250|59|005|26.5 N|29.5 E|LE MONNIER, K, POSIDONIUS
153-23501|23501|153|MM|SO-368|29|110|26|250|49|002|24.1 N|28.8 E|SERENITY, SEA OF
153-23502|23502|153|MM|SO-368|29|110|25|250|51|004|24.4 N|28.7 E|SERENITY, SEA OF
153-23503|23503|153|MM|SO-368|29|110|25|250|51|007|24.3 N|28.4 E|SERENITY, SEA OF
153-23504|23504|153|MM|SO-368|29|110|25|250|58|016|26.1 N|29.2 E|LE MONNIER, K
153-23505|23505|153|MM|SO-368|29|110|23|250|60|356|26.8 N|26.3 E|SERENITY, SEA OF
153-23506|23506|153|MM|SO-368|29|110|22|250|60|353|27.0 N|25.8 E|SERENITY, SEA OF
153-23507|23507|153|MM|SO-368|29|109|22|250|61|353|27.2 N|25.4 E|SERENITY, SEA OF
153-23508|23508|153|MM|SO-368|29|109|21|250|61|356|27.4 N|24.9 E|SERENITY, SEA OF
153-23509|23509|153|MM|SO-368|29|109|23|250|48|005|24.0 N|25.4 E|SERENITY, SEA OF
153-23510|23510|153|MM|SO-368|29|109|22|250|52|009|24.7 N|25.5 E|SERENITY, SEA OF
153-23511|23511|153|MM|SO-368|29|109|22|250|57|005|25.9 N|24.8 E|SERENITY, SEA OF
153-23512|23512|153|MM|SO-358|29|109|21|250|52|003|24.8 N|24.2 E|SERENITY, SEA OF
153-23513|23513|153|MM|SO-368|29|109|19|250|53|345|24.8 N|21.8 E|BESSEL, SE OF
153-23514|23514|153|MM|SO-368|29|109|20|250|47|349|23.8 N|22.2 E|BESSEL, SE OF
153-23515|23515|153|MM|SO-368|29|109|20|250|42|353|23.2 N|22.2 E|BESSEL
153-23564|23564|153|MM|SO-368|39|108|28|80|34|221|16.9 N|20.4 E|TACQUET, A
154-23608|23608|154|QQ|2485|01|261|01|80|26|259|19.0 N|29.6 E|VITRUVIUS, LITTROW
154-23609|23609|154|QQ|2485|01|262|01|80|31|230|16.4 N|29.5 E|VITRUVIUS, B, JANSEN F, L
154-23610|23610|154|QQ|2485|01|263|01|80|49|199|09.1 N|29.2 E|SINAS, A, E
154-23611|23611|154|QQ|2485|01|264|01|80|17|241|18.4 N|29.4 E|VITRUVIUS, L
154-23612|23612|154|QQ|2485|01|264|01|80|24|211|16.2 N|29.4 E|VITRUVIUS, JANSEN, C, L
154-23613|23613|154|QQ|2485|01|265|01|80|41|193|11.6 N|29.1 E|JANSEN F, L, SINAS
154-23614|23614|154|QQ|2485|01|267|00|80|55|188|03.2 N|28.0 E|MASKELYNE, N, R
154-23615|23615|154|QQ|2485|01|263|02|80|06|159|18.7 N|30.0 E|VITRUVIUS E, JANSEN L
154-23616|23616|154|QQ|2485|01|271|01|80|39|164|11.9 N|29.0 E|JANSEN, K, L, SINAS, E
154-23617|23617|154|QQ|2485|01|272|00|80|56|176|01.8 N|27.7 E|SINAS E
154-23621|23621|154|QQ|2485|02|265|00|80|17|305|21.2 N|27.5 E|LITTROW B, VITRUVIUS E
154-23622|23622|154|QQ|2485|02|266|01|80|07|342|20.6 N|28.9 E|LITTROW B
154-23623|23623|154|QQ|2485|02|266|02|80|06|035|20.4 N|29.5 E|LITTROW B
154-23626|23626|154|QQ|2485|04|||80||||25.5 E|JANSEN, B, E, H, DAWES
154-23627|23627|154|QQ|2485|04|||80||||25.0 E|PLINIUS, E HALF, B, JANSEN B, H
154-23628|23628|154|QQ|2485|04|||80||||23.5 E|PLINIUS, JANSEN B
154-23632|23632|154|QQ|2485|17|112|08|80|30|301|21.1 N|20.8 E|BESSEL, DESEILLIGNY, LINNE E
154-23635|23635|154|QQ|2485|17|112|09|80|35|187|17.3 N|21.5 E|ARCHERUSIA, CAPE OF
154-23636|23636|154|QQ|2485|17|112|09|80|13|175|19.0 N|21.7 E|DESEILLIGNY, S OF
159-23926|23926|159|XX|2485|26|112|24|55|31|353|22.0 N|29.2 E|LITTROW B
159-23927|23927|159|XX|2485|26|112|23|55|33|352|22.1 N|29.1 E|LITTROW B
145-22264|22264|145|D|SO-368|52|||60||||18.0 E|TACOUET A, MACLEAR, JULIUS CAESAR
145-22265|22265|145|D|SO-368|52|112|37|60|58|211|15.9 N|16.0 E|MENELAUS
145-22266|22266|145|D|SO-368|52|112|34|60|58|227|17.2 N|13.6 E|MENELAUS, MANILIUS, AUWERS
145-22267|22267|145|D|SO-368|52|112|35|60|54|218|17.6 N|14.8 E|MENELAUS, MANILIUS, AUWERS
145-22268|22268|145|D|SO-368|52|112|36|60|63|198|13.3 N|14.9 E|MENELAUS, MANILIUS, AVWERS
145-22269|22269|145|D|SO-368|52|||60||||13.0 E|MENELAUS, MANILIUS, AUWERS
145-22272|22272|145|D|SO-368|52|||60||||20.0 E|DOCKING, BESSEL, DESEILLIGNY
145-22273|22273|145|D|SO-368|52|||60||||20.0 E|DOCKING, BESSEL, DESEILLIGNY
145-22274|22274|145|D|SO-368|52|||60||||18.0 E|DOCKING, BESSEL
145-22275|22275|145|D|SO-368|52|||60||||18.0 E|DOCKING, BESSEL
149-22879|22879|149|KK|SO-368|65|113|43|250|34|243|19.8 N|10.5 E|SULPICIUS GALLUS, W OF
149-22880|22880|149|KK|SO-368|65|113|43|250|34|243|19.8 N|10.4 E|SULPICIUS GALLUS, W OF
149-22882|22882|149|KK|SO-368|65|113|42|250|23|176|19.8 N|10.1 E|SULPICIUS GALLUS, W OF
150-23031|23031|150|LL|SO-368|25|109|11|250|67|348|31.8 N|17.4 E|LINNE D
151-23258|23258|151|OO|SO-368|63|113|58|250|41|108|20.3 N|10.3 E|SULPICIUS GALLUS RILLES
151-23260|23260|151|OO|SO-368|63|114|53|250|64|180|05.6 N|19.6 E|GAY-LUSSAC, A, COPERNICUS
153-23563|23563|153|MM|SO-368|39|109|27|80|67|240|16.8 N|19.1 E|TACQUET, AUWERS, MENELAUS
153-23565|23565|153|MM|SO-368|39|108|26|80|45|238|17.1 N|17.7 E|TACQUET, AUWERS, MENELAUS
153-23566|23566|153|MM|SO-368|39|108|24|80|49|249|17.6 N|16.2 E|MENELAUS, A, N, R
153-23567|23567|153|MM|SO-368|39|108|24|80|48|247|17.7 N|15.9 E|MENELAUS, A, N, R
153-23568|23568|153|MM|SO-368|39|108|23|80|45|250|18.0 N|14.8 E|MENELAUS, A, N, R
153-23569|23569|153|MM|SO-368|39|108|21|80|34|251|18.8 N|13.2 E|MENELAUS, A, SULPICIUS GALLUS
153-23570|23570|153|MM|SO-368|39|108|20|80|36|258|19.1 N|11.5 E|SULPICIUS GALLUS, RILLES
153-23571|23571|153|MM|SO-368|39|108|19|80|38|263|19.4 N|10.6 E|SULPICIUS GALLUS, RILLES
154-23629|23629|154|QQ|2485|17|112|01|80|65|288|23.1 N|14.0 E|BESSEL
154-23630|23630|154|QQ|2485|17|112|05|80|55|289|22.0 N|17.7 E|BESSEL, DESEILLIGNY
154-23631|23631|154|QQ|2485|17|112|04|80|54|283|21.3 N|17.2 E|BESSEL, DESEILLIGNY
154-23633|23633|154|QQ|2485|17|112|01|80|62|283|21.8 N|13.9 E|BESSEL, E, F, G
154-23634|23634|154|QQ|2485|17|112|01|80|62|281|21.4 N|13.4 E|BESSEL, E, F, G
154-23637|23637|154|QQ|2485|17|111|05|80|43|225|17.3 N|18.1 E|MENELAUS, TAQUET, AUWERS
154-23638|23638|154|QQ|2485|17|111|03|80|47|263|19.4 N|15.8 E|BESSEL E
154-23639|23639|154|QQ|2485|17|111|03|80|42|239|18.0 N|16.0 E|MENELAUS, A, R, S
154-23640|23640|154|QQ|2485|17|111|06|80|67|180|08.2 N|18.5 E|AUWERS, MACLEAR
154-23641|23641|154|QQ|2485|17|111|02|80|65|346|29.5 N|15.5 E|LINNE A, B, D, E
154-23642|23642|154|QQ|2485|17|110|02|80|47|349|23.8 N|14.9 E|LINNE, A, B, E
154-23643|23643|154|QQ|2485|17|110|01|80|28|317|21.1 N|13.9 E|BESSEL F, G
154-23644|23644|154|QQ|2485|17|110|02|80|05|211|19.4 N|14.9 E|BESSEL E
154-23655|23655|154|QQ|2485|29|107|13|250|37|215|17.7 N|14.2 E|MENELAUS A, E OF
154-23656|23656|154|QQ|2485|29|106|12|250|19|210|18.9 N|12.8 E|SULPICIUS GALLUS A, E OF
154-23657|23657|154|QQ|2485|29|106|12|250|10|207|19.4 N|12.8 E|SULPICIUS GALLUS, E OF
154-23658|23658|154|QQ|2485|29|106|11|250|14|220|19.3 N|11.7 E|SULPICIUS GALLUS
154-23659|23659|154|QQ|2485|29|106|10|250|13|291|20.2 N|11.0 E|SULPICIUS GALLUS, RILLE
154-23660|23660|154|QQ|2485|29|106|09|250|20|290|20.3 N|10.4 E|SULPICIUS GALLUS, RILLE
154-23663|23663|154|QQ|2485|29|106|10|250|49|119|15.6 N|10.7 E|MANILIUS N, E HALF
154-23666|23666|154|QQ|2485|29|105|10|250|52|169|15.2 N|11.0 E|MANILIUS N
139-21283|21283|139|K|3401|62|113|30|60|54|355|28.1 N|2.7 E|AUTOLYCUS, APOLLO 15 LANDING SITE
139-21310|21310|139|K|3401|72|115|41|60|54|060|24.7 N|3.2 E|ARATUS, APOLLO 15 LANDING SITE
139-21311|21311|139|K|3401|72|115|40|60|56|059|25.0 N|3.3 E|ARATUS, APOLLO 15 LANDING SITE
145-22270|22270|145|D|SO-368|52|||60||||9.0 E|MENELAUS
145-22276|22276|145|D|SO-368|52|||60||||1.0 E|MANILIUS, F, VAPORS, SEA OF
148-22771|22771|148|NN|SO-368|73|114|46|250|32|335|22.4 N|7.5 E|SULPICIUS GALLUS A, W OF
148-22772|22772|148|NN|SO-368|73|114|45|250|38|325|23.1 N|7.2 E|SULPICIUS GALLUS A, NW OF
149-22877|22877|149|KK|SO-368|65|113|42|250|66|273|19.9 N|9.7 E|SULPICIUS GALLUS, RILLES
149-22878|22878|149|KK|SO-368|65|113|42|250|63|271|20.0 N|9.6 E|SULPICIUS GALLUS RILLES
149-22881|22881|149|KK|SO-368|65|113|40|250|29|312|22.9 N|8.6 E|SULPICIUS GALLUS A, N OF
149-22883|22883|149|KK|SO-368|65|114|39|250|15|332|22.3 N|7.4 E|SULPICIUS GALLUS A, W OF
149-22885|22885|149|KK|SO-368|65|114|33|80|13|351|23.4 N|1.7 E|BRADLEY RILLE
149-22886|22886|149|KK|SO-368|65|114|33|80|11|000|23.3 N|0.7 E|BRADLEY RILLE
149-22887|22887|149|KK|SO-368|65|114|33|80|16|012|23.7 N|0.5 E|BRADLEY RILLE
149-22888|22888|149|KK|SO-368|65|114|32|80|16|013|23.6 N|0.1 E|BRADLEY RILLE
151-23219|23219|151|OO|SO-368|38|106|16|250|38|329|22.3 N|9.1 E|SULPICIUS GALLUS, NE OF
151-23220|23220|151|OO|SO-368|38|106|15|250|49|328|23.6 N|7.9 E|SULPICIUS GALLUS, NE OF
151-23221|23221|151|OO|SO-368|38|106|13|250|66|341|29.3 N|6.1 E|AUTOLYCUS K
151-23256|23256|151|OO|SO-368|63|113|43|250|39|096|21.9 N|8.8 E|SULPICIUS GALLUS RILES
151-23257|23257|151|OO|SO-368|63|113|53|250|39|107|20.8 N|9.2 E|SULPICIUS GALLUS RILLES
151-23259|23259|151|OO|SO-368|63|113|36|250|69|053|19.9 N|4.6 E|MANILIUS F, N OF
152-23284|23284|152|PP|SO-368|74|114|50|250|15|199|18.9 N|9.7 E|MANILIUS A, NE OF
152-23285|23285|152|PP|SO-368|74|114|50|250|15|199|18.9 N|9.7 E|MANILIUS A, NE OF
152-23286|23286|152|PP|SO-368|74|114|46|250|29|209|18.7 N|5.3 E|MANILIUS E, W OF
152-23287|23287|152|PP|SO-368|74|114|46|250|29|205|18.7 N|5.3 E|MANILIUS E, W OF
153-23572|23572|153|MM|SO-368|39|106|17|80|46|269|19.7 N|8.7 E|MANILIUS F, ARATUS A
153-23573|23573|153|MM|SO-368|39|106|16|80|49|270|19.8 N|7.5 E|MANILIUS F, ARATUS A
153-23574|23574|153|MM|SO-368|39|106|16|80|46|261|19.2 N|7.2 E|MANILIUS F, CONON
153-23575|23575|153|MM|SO-368|39|106|15|80|46|259|19.2 N|6.3 E|MANILIUS F
153-23576|23576|153|MM|SO-368|39|106|14|80|46|256|18.9 N|5.5 E|MANILIUS F
153-23577|23577|153|MM|SO-368|39|105|13|80|46|254|18.8 N|4.5 E|MANILIUS F
153-23578|23578|153|MM|SO-368|39|105|12|80|47|254|18.8 N|3.3 E|CONON, S OF
153-23579|23579|153|MM|SO-368|39|105|11|80|45|252|18.7 N|2.6 E|CONON, S OF
153-23580|23580|153|MM|SO-368|39|105|11|80|44|253|18.8 N|1.8 E|CONON, S OF
153-23581|23581|153|MM|SO-368|39|105|10|80|39|253|19.0 N|1.4 E|CONON, S OF
153-23582|23582|153|MM|SO-368|39|104|10|80|29|248|19.1 N|1.5 E|CONON, S OF
154-23661|23661|154|QQ|2485|29|106|08|250|42|227|17.6 N|8.9 E|MANILIUS A
154-23662|23662|154|QQ|2485|29|106|07|250|49|230|17.1 N|7.9 E|MANILIUS B
154-23664|23664|154|QQ|2485|29|105|07|250|30|261|19.6 N|8.1 E|MANILIUS E, NE OF
154-23665|23665|154|QQ|2485|29|105|06|250|43|252|18.8 N|6.7 E|MANILIUS E
154-23667|23667|154|QQ|2485|29|105|05|250|44|255|18.8 N|05.7 E|MANILIUS E, NW HALF
154-23668|23668|154|QQ|2485|29|105|05|250|36|251|19.0 N|06.1 E|MANILIUS E, NW HALF
154-23669|23669|154|QQ|2485|29|105|05|250|32|238|18.6 N|06.0 E|MANILIUS E
154-23670|23670|154|QQ|2485|29|105|06|250|27|201|18.1 N|06.7 E|MANILIUS E, SE HALF
154-23671|23671|154|QQ|2485|29|105|04|250|33|258|19.3 N|04.4 E|MANILIUS E, W OF
154-23672|23672|154|QQ|2485|29|105|04|250|26|235|18.7 N|04.8 E|MANILIUS E, W OF
154-23673|23673|154|QQ|2485|29|104|04|250|62|192|12.1 N|04.2 E|VAPORS, SEA OF, HYGINUS D
154-23674|23674|154|QQ|2485|29|104|02|250|61|202|13.1 N|02.8 E|VAPORS, SEA OF, UKERT, A, W
154-23675|23675|154|QQ|2485|29|104|01|250|59|212|14.1 N|01.7 E|VAPORS, SEA OF
154-23676|23676|154|QQ|2485|29|104|01|250|57|219|15.1 N|01.1 E|VAPORS, SEA OF
154-23677|23677|154|QQ|2485|29|104|00|250|53|227|16.2 N|00.7 E|MARCO POLO P, SE OF
154-23678|23678|154|QQ|2485|29|104|03|250|08|210|19.2 N|04.0 E|CONON W, E OF
154-23679|23679|154|QQ|2485|29|104|01|250|29|236|18.5 N|01.9 E|CONON, RILLE
159-23928|23928|159|XX|2485|27|108|07|55|41|311|22.2 N|10.0 E|SULPICIUS GALLUS RILLES
159-23929|23929|159|XX|2485|27|108|05|55|57|326|25.0 N|08.3 E|ARATUS C, D
159-23930|23930|159|XX|2485|27|108|05|55|58|347|26.2 N|08.3 E|SERENITY, SEA OF, CAUCASUS MOUNTAINS
159-23931|23931|159|XX|2485|27|107|03|55|41|250|18.7 N|05.2 E|MANILIUS F, N OF
139-21322|21322|139|K|3401|73|115|37|60|38|187|19.2 N|4.4 W|APENNINE MTS, WALLACE A, B
