0|7W5OAnCC5EA|-1:22|000:00
1|yGcmH96w-Fg|000:00|008:00
2|JFX6MDoMuG0|008:00|016:00
3|AfAU_79dAd8|016:00|024:00
4|VE345fzF84Q|024:00|032:00
5|vsgolBc4skA|032:00|040:00
6|aCJ22Vl3a8k|040:00|048:00
7|CwjFpcKgx64|048:00|056:00
8|NN8W0KKoMr8|056:00|064:00
9|Ec_pm0i47Uo|064:00|074:40
10|MhYwOOyUJY8|074:40|082:40
11|UhlSRncDE3w|082:40|090:40
12|Ulw1BE4bx90|090:40|098:40
13|WNYG-RBhyB8|098:40|106:40
14|Qrc1bUj5LQU|106:40|114:40
15|6ek6CVHUmNU|114:40|122:40
16|GXKJiWFym80|122:40|130:40
17|And-OB9xcns|130:40|138:40
18|LzLOqTouaeA|138:40|146:40
19|yH5BjOgPyzk|146:40|154:40
20|0yTkQlgI_Bw|154:40|162:40
21|_ksfHIYamyk|162:40|170:40
22|BO_tkaTjz2M|170:40|178:40
23|nUjsfAjPHGQ|178:40|186:40
24|6INhpinRwVU|186:40|194:40
25|RaonKYAZqCg|194:40|202:40
26|jpy0SHTZG5g|202:40|210:40
27|mC3Fr4d1dcU|210:40|218:40
28|xDH2qR5wP8Q|218:40|226:40
29|ChgcnwZ9xH8|226:40|234:40
30|AuznIJwZNlQ|234:40|242:40
31|Ctei8yzm4uw|242:40|250:40
32|4BaQnCJ0qWE|250:40|258:40
33|oqcG7fsAe6M|258:40|266:40
34|VGAJZjJEUN0|266:40|274:40
35|D1DXH8SWNmk|274:40|282:40
36|rufP6RXakWk|282:40|290:40
37|j3QTiLJIcS4|290:40|298:40
38|J6LYHGP_L30|298:40|306:40