000:00:00|000:03:07|v
Missing audio starts line: 385 : 000:51:00
Missing audio ends   line: 396 : 000:53:56
Missing audio starts line: 2205 : 021:39:55
Missing audio ends   line: 2213 : 021:41:25
Missing audio starts line: 14041 : 131:15:32
Missing audio ends   line: 14288 : 136:26:50
Missing audio starts line: 20862 : 161:21:31
Missing audio ends   line: 21076 : 163:12:54
Missing audio starts line: 25875 : 172:47:48
Missing audio ends   line: 25889 : 173:03:04
Missing audio starts line: 26602 : 184:39:58
Missing audio ends   line: 26743 : 186:01:44
Missing audio starts line: 28763 : 196:34:16
Missing audio ends   line: 28890 : 198:33:30
Missing audio starts line: 29188 : 209:49:03
Missing audio ends   line: 29206 : 209:51:35
Missing audio starts line: 29399 : 211:21:26
Missing audio ends   line: 29407 : 211:24:43
Missing audio starts line: 34739 : 290:04:05
Missing audio ends   line: 34835 : 299:28:31
Missing audio starts line: 35158 : 303:08:25
Missing audio ends   line: 35240 : 303:33:23